check a
check b
check me
will read res info from /Users/scottepratt/git/rhic/b3d/trunk/resinfo/resonances_standardhadrons.dat
NResonances=55
will read decay info from resinfo/decays_weak.dat
#_____________________
#  T       s         P        epsilon
 91.00 1.1848601367e-01 2.0308013663e+00 8.7514258777e+00
 92.00 1.2443347458e-01 2.1522398142e+00 9.2956398471e+00
 93.00 1.3064171118e-01 2.2797552366e+00 9.8699239033e+00
 94.00 1.3712140372e-01 2.4136137176e+00 1.0475798232e+01
 95.00 1.4388361627e-01 2.5540922130e+00 1.1114851333e+01
 96.00 1.5093980480e-01 2.7014789377e+00 1.1788742323e+01
 97.00 1.5830182502e-01 2.8560737619e+00 1.2499203265e+01
 98.00 1.6598194021e-01 3.0181886148e+00 1.3248041526e+01
 99.00 1.7399282890e-01 3.1881478955e+00 1.4037142166e+01
100.00 1.8234759235e-01 3.3662888927e+00 1.4868470342e+01
101.00 1.9105976200e-01 3.5529622107e+00 1.5744073751e+01
102.00 2.0014330668e-01 3.7485322034e+00 1.6666085078e+01
103.00 2.0961263973e-01 3.9533774152e+00 1.7636724477e+01
104.00 2.1948262589e-01 4.1678910288e+00 1.8658302064e+01
105.00 2.2976858807e-01 4.3924813205e+00 1.9733220427e+01
106.00 2.4048631393e-01 4.6275721210e+00 2.0863977155e+01
107.00 2.5165206223e-01 4.8736032839e+00 2.2053167375e+01
108.00 2.6328256908e-01 5.1310311596e+00 2.3303486301e+01
109.00 2.7539505389e-01 5.4003290759e+00 2.4617731798e+01
110.00 2.8800722516e-01 5.6819878240e+00 2.5998806944e+01
111.00 3.0113728612e-01 5.9765161506e+00 2.7449722608e+01
112.00 3.1480394000e-01 6.2844412550e+00 2.8973600025e+01
113.00 3.2902639529e-01 6.6063092920e+00 3.0573673376e+01
114.00 3.4382437057e-01 6.9426858798e+00 3.2253292365e+01
115.00 3.5921809925e-01 7.2941566119e+00 3.4015924802e+01
116.00 3.7522833405e-01 7.6613275745e+00 3.5865159175e+01
117.00 3.9187635120e-01 8.0448258682e+00 3.7804707222e+01
118.00 4.0918395445e-01 8.4453001331e+00 3.9838406492e+01
119.00 4.2717347883e-01 8.8634210782e+00 4.1970222902e+01
120.00 4.4586779415e-01 9.2998820151e+00 4.4204253283e+01
121.00 4.6529030830e-01 9.7553993935e+00 4.6544727911e+01
122.00 4.8546497025e-01 1.0230713342e+01 4.8996013029e+01
123.00 5.0641627284e-01 1.0726588208e+01 5.1562613351e+01
124.00 5.2816925534e-01 1.1243813108e+01 5.4249174554e+01
125.00 5.5074950570e-01 1.1783202469e+01 5.7060485744e+01
126.00 5.7418316265e-01 1.2345596582e+01 6.0001481912e+01
127.00 5.9849691746e-01 1.2931862154e+01 6.3077246363e+01
128.00 6.2371801550e-01 1.3542892858e+01 6.6293013126e+01
129.00 6.4987425759e-01 1.4179609893e+01 6.9654169336e+01
130.00 6.7699400103e-01 1.4842962534e+01 7.3166257600e+01
131.00 7.0510616047e-01 1.5533928694e+01 7.6834978327e+01
132.00 7.3424020847e-01 1.6253515479e+01 8.0666192040e+01
133.00 7.6442617590e-01 1.7002759745e+01 8.4665921649e+01
134.00 7.9569465202e-01 1.7782728661e+01 8.8840354710e+01
135.00 8.2807678442e-01 1.8594520262e+01 9.3195845635e+01
136.00 8.6160427867e-01 1.9439264010e+01 9.7738917888e+01
137.00 8.9630939776e-01 2.0318121354e+01 1.0247626614e+02
138.00 9.3222496134e-01 2.1232286281e+01 1.0741475838e+02
139.00 9.6938434471e-01 2.2182985877e+01 1.1256143804e+02
140.00 1.0078214776e+00 2.3171480881e+01 1.1792352599e+02
141.00 1.0475708429e+00 2.4199066237e+01 1.2350842262e+02
142.00 1.0886674748e+00 2.5267071650e+01 1.2932370977e+02
143.00 1.1311469571e+00 2.6376862131e+01 1.3537715273e+02
144.00 1.1750454212e+00 2.7529838552e+01 1.4167670209e+02
145.00 1.2203995438e+00 2.8727438187e+01 1.4823049567e+02
146.00 1.2672465449e+00 2.9971135260e+01 1.5504686029e+02
147.00 1.3156241844e+00 3.1262441483e+01 1.6213431363e+02
148.00 1.3655707603e+00 3.2602906601e+01 1.6950156593e+02
149.00 1.4171251051e+00 3.3994118921e+01 1.7715752174e+02
150.00 1.4703265829e+00 3.5437705850e+01 1.8511128159e+02
151.00 1.5252150863e+00 3.6935334423e+01 1.9337214361e+02
152.00 1.5818310327e+00 3.8488711831e+01 2.0194960514e+02
153.00 1.6402153610e+00 4.0099585943e+01 2.1085336429e+02
154.00 1.7004095277e+00 4.1769745827e+01 2.2009332144e+02
155.00 1.7624555031e+00 4.3501022263e+01 2.2967958072e+02
156.00 1.8263957673e+00 4.5295288257e+01 2.3962245145e+02
157.00 1.8922733063e+00 4.7154459550e+01 2.4993244953e+02
158.00 1.9601316071e+00 4.9080495118e+01 2.6062029880e+02
159.00 2.0300146541e+00 5.1075397674e+01 2.7169693233e+02
160.00 2.1019669242e+00 5.3141214162e+01 2.8317349371e+02
161.00 2.1760333821e+00 5.5280036246e+01 2.9506133828e+02
162.00 2.2522594760e+00 5.7494000799e+01 3.0737203431e+02
163.00 2.3306911323e+00 5.9785290381e+01 3.2011736418e+02
164.00 2.4113747510e+00 6.2156133713e+01 3.3330932546e+02
165.00 2.4943572007e+00 6.4608806154e+01 3.4696013197e+02
166.00 2.5796858134e+00 6.7145630164e+01 3.6108221486e+02
167.00 2.6674083793e+00 6.9768975761e+01 3.7568822358e+02
168.00 2.7575731416e+00 7.2481260983e+01 3.9079102681e+02
169.00 2.8502287915e+00 7.5284952335e+01 4.0640371343e+02
170.00 2.9454244622e+00 7.8182565234e+01 4.2253959333e+02
171.00 3.0432097238e+00 8.1176664451e+01 4.3921219832e+02
172.00 3.1436345780e+00 8.4269864542e+01 4.5643528288e+02
173.00 3.2467494521e+00 8.7464830276e+01 4.7422282494e+02
174.00 3.3526051937e+00 9.0764277064e+01 4.9258902664e+02
175.00 3.4612530648e+00 9.4170971369e+01 5.1154831497e+02
176.00 3.5727447364e+00 9.7687731122e+01 5.3111534249e+02
177.00 3.6871322826e+00 1.0131742613e+02 5.5130498788e+02
178.00 3.8044681745e+00 1.0506297847e+02 5.7213235660e+02
179.00 3.9248052753e+00 1.0892736288e+02 5.9361278140e+02
180.00 4.0481968333e+00 1.1291360716e+02 6.1576182283e+02
181.00 4.1746964771e+00 1.1702479257e+02 6.3859526979e+02
182.00 4.3043582091e+00 1.2126405414e+02 6.6212913991e+02
183.00 4.4372363996e+00 1.2563458113e+02 6.8637968000e+02
184.00 4.5733857816e+00 1.3013961734e+02 7.1136336647e+02
185.00 4.7128614438e+00 1.3478246145e+02 7.3709690565e+02
186.00 4.8557188257e+00 1.3956646746e+02 7.6359723413e+02
187.00 5.0020137112e+00 1.4449504494e+02 7.9088151905e+02
188.00 5.1518022225e+00 1.4957165942e+02 8.1896715842e+02
189.00 5.3051408148e+00 1.5479983274e+02 8.4787178126e+02
190.00 5.4620862698e+00 1.6018314333e+02 8.7761324793e+02
191.00 5.6226956901e+00 1.6572522660e+02 9.0820965022e+02
192.00 5.7870264934e+00 1.7142977517e+02 9.3967931156e+02
193.00 5.9551364062e+00 1.7730053928e+02 9.7204078711e+02
194.00 6.1270834585e+00 1.8334132703e+02 1.0053128639e+03
195.00 6.3029259776e+00 1.8955600468e+02 1.0395145609e+03
196.00 6.4827225824e+00 1.9594849701e+02 1.0746651291e+03
197.00 6.6665321777e+00 2.0252278751e+02 1.1107840515e+03
198.00 6.8544139482e+00 2.0928291875e+02 1.1478910430e+03
199.00 7.0464273531e+00 2.1623299261e+02 1.1860060506e+03
200.00 7.2426321199e+00 2.2337717058e+02 1.2251492534e+03
