#_____________________
#  T       s         P        epsilon
 95.00 1.4511313122e-01 2.5609134445e+00 1.1224834022e+01
 96.00 1.5237852493e-01 2.7096319290e+00 1.1918706464e+01
 97.00 1.5997971574e-01 2.8657824188e+00 1.2652250008e+01
 98.00 1.6793251151e-01 3.0297085538e+00 1.3427677574e+01
 99.00 1.7625346986e-01 3.2017701540e+00 1.4247323362e+01
100.00 1.8495992926e-01 3.3823439848e+00 1.5113648941e+01
101.00 1.9407004077e-01 3.5718245538e+00 1.6029249563e+01
102.00 2.0360280077e-01 3.7706249394e+00 1.6996860739e+01
103.00 2.1357808447e-01 3.9791776531e+00 1.8019365048e+01
104.00 2.2401668029e-01 4.1979355352e+00 1.9099799215e+01
105.00 2.3494032498e-01 4.4273726857e+00 2.0241361437e+01
106.00 2.4637173962e-01 4.6679854304e+00 2.1447418970e+01
107.00 2.5833466641e-01 4.9202933239e+00 2.2721515982e+01
108.00 2.7085390613e-01 5.1848401887e+00 2.4067381674e+01
109.00 2.8395535648e-01 5.4621951937e+00 2.5488938662e+01
110.00 2.9766605101e-01 5.7529539700e+00 2.6990311642e+01
111.00 3.1201419889e-01 6.0577397667e+00 2.8575836311e+01
112.00 3.2702922522e-01 6.3772046467e+00 3.0250068578e+01
113.00 3.4274181207e-01 6.7120307229e+00 3.2017794041e+01
114.00 3.5918394011e-01 7.0629314363e+00 3.3884037736e+01
115.00 3.7638893083e-01 7.4306528753e+00 3.5854074171e+01
116.00 3.9439148934e-01 7.8159751380e+00 3.7933437625e+01
117.00 4.1322774758e-01 8.2197137375e+00 4.0127932730e+01
118.00 4.3293530821e-01 8.6427210505e+00 4.2443645318e+01
119.00 4.5355328874e-01 9.0858878099e+00 4.4886953551e+01
120.00 4.7512236623e-01 9.5501446425e+00 4.7464539305e+01
121.00 4.9768482226e-01 1.0036463650e+01 5.0183399843e+01
122.00 5.2128458831e-01 1.0545860038e+01 5.3050859735e+01
123.00 5.4596729137e-01 1.1079393787e+01 5.6074583051e+01
