#Resonance List for B3D model
#Last Modified: Thu Mar 10 12:49:34 2011
#Legend: ParticleCode Mass Charge BaryonNumber Strangeness Spin GParity DecayBool ResWidth ResName
319 Resonances
-13122 1406.5 0 -1 1 0.5 9 0 0   Lambda 1405      
100323 1414 1 0 1 1 9 0 0   K* 1410 (+)      
-100323 1414 -1 0 -1 1 9 0 0   K* 1410 (-)      
100313 1414 0 0 1 1 9 0 0   K* 1410 (0)      
-100313 1414 0 0 -1 1 9 0 0   Anti K* 1410 (-) 
9020221 1410.3 0 0 0 0 1 0 0   eta 1405         
10321 1412 1 0 1 0 9 0 0   K0* 1430 (+)     
-10321 1412 -1 0 -1 0 9 0 0   K0* 1430 (-)     
10311 1412 0 0 1 0 9 0 0   K0* 1430 (0)     
-10311 1412 0 0 -1 0 9 0 0   Anti K0* 1430 (0)
100223 1419 0 0 0 1 -1 0 0   omega 1420       
20333 1426.3 0 0 0 1 1 0 0   f1 1420          
325 1425.6 1 0 1 2 9 0 0   K2* 1430 (+)     
-325 1425.6 -1 0 -1 2 9 0 0   K2* 1430 (-)     
315 1432.4 0 0 1 2 9 0 0   K2* 1430 (0)     
-315 1432.4 0 0 -1 2 9 0 0   Anti K2* 1430 (0)
12212 1440 1 1 0 0.5 9 0 0   p 1440           
-12212 1440 -1 -1 0 0.5 9 0 0   p 1440           
12112 1440 0 1 0 0.5 9 0 0   n 1440           
-12112 1440 0 -1 0 0.5 9 0 0   n 1440           
100213 1465 1 0 0 1 1 0 0   rho  1450 (+)    
100113 1465 0 0 0 1 1 0 0   rho  1450 (0)    
-100213 1465 -1 0 0 1 1 0 0   rho  1450 (-)    
10211 1474 1 0 0 0 -1 0 0   a0 1450 (+)      
10111 1474 0 0 0 0 -1 0 0   a0 1450 (0)      
-10211 1474 -1 0 0 0 -1 0 0   a0 1450 (-)      
100331 1476 0 0 0 0 1 0 0   eta 1475         
9030221 1507 0 0 0 0 1 0 0   f0 1500          
3124 1519.5 0 1 -1 1.5 9 0 0   Lambda 1520      
-3124 1519.5 0 -1 1 1.5 9 0 0   Lambda 1520      
2124 1520 1 1 0 1.5 9 0 0   p 1520           
-2124 1520 -1 -1 0 1.5 9 0 0   p 1520           
1214 1520 0 1 0 1.5 9 0 0   n 1520           
-1214 1520 0 -1 0 1.5 9 0 0   n 1520           
335 1525 0 0 0 2 1 0 0   f2 prime 1525    
3324 1531.8 0 1 -2 1.5 9 0 0   Xsi (0) 1530     
-3324 1531.8 0 -1 2 1.5 9 0 0   Xsi (0) 1530     
3314 1535 -1 1 -2 1.5 9 0 0   Xsi (-) 1530     
-3314 1535 1 -1 2 1.5 9 0 0   Xsi (-) 1530     
22212 1535 1 1 0 0.5 9 0 0   p 1535           
-22212 1535 -1 -1 0 0.5 9 0 0   p 1535           
22112 1535 0 1 0 0.5 9 0 0   n 1535           
-22112 1535 0 -1 0 0.5 9 0 0   n 1535           
32224 1600 2 1 0 1.5 9 0 0   Delta 1600 (++)  
-32224 1600 -2 -1 0 1.5 9 0 0   Delta 1600 (++)  
32214 1600 1 1 0 1.5 9 0 0   Delta 1600 (+)   
-32214 1600 -1 -1 0 1.5 9 0 0   Delta 1600 (+)   
32114 1600 0 1 0 1.5 9 0 0   Delta 1600 (0)   
-32114 1600 0 -1 0 1.5 9 0 0   Delta 1600 (0)   
31114 1600 -1 1 0 1.5 9 0 0   Delta 1600 (-)   
-31114 1600 1 -1 0 1.5 9 0 0   Delta 1600 (-)   
23122 1600 0 1 -1 0.5 9 0 0   Lambda 1600      
-23122 1600 0 -1 1 0.5 9 0 0   Lambda 1600      
10225 1617 0 0 0 2 -1 0 0   eta2 1645        
2222 1630 2 1 0 0.5 9 0 0   Delta 1620 (++)  
-2222 1630 -2 -1 0 0.5 9 0 0   Delta 1620 (++)  
2122 1630 1 1 0 0.5 9 0 0   Delta 1620 (+)   
-2122 1630 -1 -1 0 0.5 9 0 0   Delta 1620 (+)   
1212 1630 0 1 0 0.5 9 0 0   Delta 1620 (0)   
-1212 1630 0 -1 0 0.5 9 0 0   Delta 1620 (0)   
1112 1630 -1 1 0 0.5 9 0 0   Delta 1620 (-)   
-1112 1630 1 -1 0 0.5 9 0 0   Delta 1620 (-)   
9010213 1653 1 0 0 1 -1 0 0   Pion1 1600 (+)   
9010113 1653 0 0 0 1 -1 0 0   Pion1 1600 (0)   
-9010213 1653 -1 0 0 1 -1 0 0   Pion1 1600 (-)   
32212 1655 1 1 0 0.5 9 0 0   p 1650           
-32212 1655 -1 -1 0 0.5 9 0 0   p 1650           
32112 1655 0 1 0 0.5 9 0 0   n 1650           
-32112 1655 0 -1 0 0.5 9 0 0   n 1650           
13222 1660 1 1 -1 0.5 9 0 0   Sigma (+) 1660   
-13222 1660 -1 -1 1 0.5 9 0 0   Sigma (+) 1660   
13212 1660 0 1 -1 0.5 9 0 0   Sigma (0) 1660   
-13212 1660 0 -1 1 0.5 9 0 0   Sigma (0) 1660   
13112 1660 -1 1 -1 0.5 9 0 0   Sigma (-) 1660   
-13112 1660 1 -1 1 0.5 9 0 0   Sigma (-) 1660   
30223 1670 0 0 0 1 -1 0 0   omega 1650       
227 1667 0 0 0 3 -1 0 0   omega3 1670      
33122 1670 0 1 -1 0.5 9 0 0   Lambda 1670      
-33122 1670 0 -1 1 0.5 9 0 0   Lambda 1670      
13224 1670 1 1 -1 1.5 9 0 0   Sigma (+) 1670   
-13224 1670 -1 -1 1 1.5 9 0 0   Sigma (+) 1670   
13214 1670 0 1 -1 1.5 9 0 0   Sigma (0) 1670   
-13214 1670 0 -1 1 1.5 9 0 0   Sigma (0) 1670   
13114 1670 -1 1 -1 1.5 9 0 0   Sigma (-) 1670   
-13114 1670 1 -1 1 1.5 9 0 0   Sigma (-) 1670   
10215 1672.4 1 0 0 2 -1 0 0   Pion2 1670  (+)  
10115 1672.4 0 0 0 2 -1 0 0   Pion2 1670  (0)  
-10215 1672.4 -1 0 0 2 -1 0 0   Pion2 1670  (-)  
3334 1672.43 -1 1 -3 1.5 9 0 0   Omega            
-3334 1672.43 1 -1 3 1.5 9 0 0   Omega            
2216 1675 1 1 0 2.5 9 0 0   p 1675           
-2216 1675 -1 -1 0 2.5 9 0 0   p 1675           
2116 1675 0 1 0 2.5 9 0 0   n 1675           
-2116 1675 0 -1 0 2.5 9 0 0   n 1675           
100333 1680 0 0 0 1 -1 0 0   phi 1680         
12216 1685 1 1 0 2.5 9 0 0   p 1680           
-12216 1685 -1 -1 0 2.5 9 0 0   p 1680           
12116 1685 0 1 0 2.5 9 0 0   n 1680           
-12116 1685 0 -1 0 2.5 9 0 0   n 1680           
217 1688.8 1 0 0 3 1 0 0   rho3 1690 (+)    
117 1688.8 0 0 0 3 1 0 0   rho3 1690 (0)    
-217 1688.8 -1 0 0 3 1 0 0   rho3 1690 (-)    
13124 1690 0 1 -1 1.5 9 0 0   Lambda 1690      
-13124 1690 0 -1 1 1.5 9 0 0   Lambda 1690      
13322 1690 0 1 -2 0.5 9 0 0   Xsi (0) 1690     
-13322 1690 0 -1 2 0.5 9 0 0   Xsi (0) 1690     
13312 1690 -1 1 -2 0.5 9 0 0   Xsi (-) 1690     
-13312 1690 1 -1 2 0.5 9 0 0   Xsi (-) 1690     
22124 1700 1 1 0 1.5 9 0 0   p 1700           
-22124 1700 -1 -1 0 1.5 9 0 0   p 1700           
21214 1700 0 1 0 1.5 9 0 0   n 1700           
-21214 1700 0 -1 0 1.5 9 0 0   n 1700           
12224 1700 2 1 0 1.5 9 0 0   Delta 1700 (++)  
-12224 1700 -2 -1 0 1.5 9 0 0   Delta 1700 (++)  
12214 1700 1 1 0 1.5 9 0 0   Delta 1700 (+)   
-12214 1700 -1 -1 0 1.5 9 0 0   Delta 1700 (+)   
12114 1700 0 1 0 1.5 9 0 0   Delta 1700 (0)   
-12114 1700 0 -1 0 1.5 9 0 0   Delta 1700 (0)   
11114 1700 -1 1 0 1.5 9 0 0   Delta 1700 (-)   
-11114 1700 1 -1 0 1.5 9 0 0   Delta 1700 (-)   
42212 1710 1 1 0 0.5 9 0 0   p 1710           
-42212 1710 -1 -1 0 0.5 9 0 0   p 1710           
42112 1710 0 1 0 0.5 9 0 0   n 1710           
-42112 1710 0 -1 0 0.5 9 0 0   n 1710           
10331 1715 0 0 0 0 1 0 0   f0 1710          
30323 1717 1 0 1 1 9 0 0   K* 1680 (+)      
-30323 1717 -1 0 -1 1 9 0 0   K* 1680 (-)      
30313 1717 0 0 1 1 9 0 0   K* 1680 (0)      
-30313 1717 0 0 -1 1 9 0 0   Anti K* 1680 (0) 
30213 1720 1 0 0 1 1 0 0   rho 1700  (+)    
30113 1720 0 0 0 1 1 0 0   rho 1700  (0)    
-30213 1720 -1 0 0 1 1 0 0   rho 1700  (-)    
32124 1720 1 1 0 1.5 9 0 0   p 1720           
-32124 1720 -1 -1 0 1.5 9 0 0   p 1720           
31214 1720 0 1 0 1.5 9 0 0   n 1720           
-31214 1720 0 -1 0 1.5 9 0 0   n 1720           
23222 1750 1 1 -1 0.5 9 0 0   Sigma (+) 1750   
-23222 1750 -1 -1 1 0.5 9 0 0   Sigma (+) 1750   
23212 1750 0 1 -1 0.5 9 0 0   Sigma (0) 1750   
-23212 1750 0 -1 1 0.5 9 0 0   Sigma (0) 1750   
23112 1750 -1 1 -1 0.5 9 0 0   Sigma (-) 1750   
-23112 1750 1 -1 1 0.5 9 0 0   Sigma (-) 1750   
10325 1773 1 0 1 2 9 0 0   K2 1770 (+)      
-10325 1773 -1 0 -1 2 9 0 0   K2 1770 (-)      
10315 1773 0 0 1 2 9 0 0   K2 1770 (0)      
-10315 1773 0 0 -1 2 9 0 0   Anti K2 1770 (0) 
3226 1775 1 1 -1 2.5 9 0 0   Sigma (+) 1775   
-3226 1775 -1 -1 1 2.5 9 0 0   Sigma (+) 1775   
3216 1775 0 1 -1 2.5 9 0 0   Sigma (0) 1775   
-3216 1775 0 -1 1 2.5 9 0 0   Sigma (0) 1775   
3116 1775 -1 1 -1 2.5 9 0 0   Sigma (-) 1775   
-3116 1775 1 -1 1 2.5 9 0 0   Sigma (-) 1775   
327 1776 1 0 1 3 9 0 0   K3* 1780 (+)     
-327 1776 -1 0 -1 3 9 0 0   K3* 1780 (-)     
317 1776 0 0 1 3 9 0 0   K3* 1780 (0)     
-317 1776 0 0 -1 3 9 0 0   Anti K3* 1780 (0)
43122 1800 0 1 -1 0.5 9 0 0   Lambda 1800      
-43122 1800 0 -1 1 0.5 9 0 0   Lambda 1800      
53122 1810 0 1 -1 0.5 9 0 0   Lambda 1810      
-53122 1810 0 -1 1 0.5 9 0 0   Lambda 1810      
9010211 1812 1 0 0 0 -1 0 0   Pion 1800 (+)    
9010111 1812 0 0 0 0 -1 0 0   Pion 1800 (0)    
-9010211 1812 -1 0 0 0 -1 0 0   Pion 1800 (-)    
20325 1816 1 0 1 2 9 0 0   K2 1820 (+)      
-20325 1816 -1 0 -1 2 9 0 0   K2 1820 (-)      
20315 1816 0 0 1 2 9 0 0   K2 1820 (0)      
-20315 1816 0 0 -1 2 9 0 0   Anti K2 1820 (0) 
3126 1820 0 1 -1 2.5 9 0 0   Lambda 1820      
-3126 1820 0 -1 1 2.5 9 0 0   Lambda 1820      
13324 1823 0 1 -2 1.5 9 0 0   Xsi (0) 1820     
-13324 1823 0 -1 2 1.5 9 0 0   Xsi (0) 1820     
13314 1823 -1 1 -2 1.5 9 0 0   Xsi (-) 1820     
-13314 1823 1 -1 2 1.5 9 0 0   Xsi (-) 1820     
13126 1830 0 1 -1 2.5 9 0 0   Lambda 1830      
-13126 1830 0 -1 1 2.5 9 0 0   Lambda 1830      
337 1854 0 0 0 3 -1 0 0   phi3 1850        
23124 1890 0 1 -1 1.5 9 0 0   Lambda 1890      
-23124 1890 0 -1 1 1.5 9 0 0   Lambda 1890      
2226 1890 2 1 0 2.5 9 0 0   Delta 1905 (++)  
-2226 1890 -2 -1 0 2.5 9 0 0   Delta 1905 (++)  
2126 1890 1 1 0 2.5 9 0 0   Delta 1905 (+)   
-2126 1890 -1 -1 0 2.5 9 0 0   Delta 1905 (+)   
1216 1890 0 1 0 2.5 9 0 0   Delta 1905 (0)   
-1216 1890 0 -1 0 2.5 9 0 0   Delta 1905 (0)   
1116 1890 -1 1 0 2.5 9 0 0   Delta 1905 (-)   
-1116 1890 1 -1 0 2.5 9 0 0   Delta 1905 (-)   
22222 1910 2 1 0 0.5 9 0 0   Delta 1910 (++)  
-22222 1910 -2 -1 0 0.5 9 0 0   Delta 1910 (++)  
22122 1910 1 1 0 0.5 9 0 0   Delta 1910 (+)   
-22122 1910 -1 -1 0 0.5 9 0 0   Delta 1910 (+)   
21212 1910 0 1 0 0.5 9 0 0   Delta 1910 (0)   
-21212 1910 0 -1 0 0.5 9 0 0   Delta 1910 (0)   
21112 1910 -1 1 0 0.5 9 0 0   Delta 1910 (-)   
-21112 1910 1 -1 0 0.5 9 0 0   Delta 1910 (-)   
13226 1915 1 1 -1 2.5 9 0 0   Sigma (+) 1915   
-13226 1915 -1 -1 1 2.5 9 0 0   Sigma (+) 1915   
13216 1915 0 1 -1 2.5 9 0 0   Sigma (0) 1915   
-13216 1915 0 -1 1 2.5 9 0 0   Sigma (0) 1915   
13116 1915 -1 1 -1 2.5 9 0 0   Sigma (-) 1915   
-13116 1915 1 -1 1 2.5 9 0 0   Sigma (-) 1915   
22224 1920 2 1 0 1.5 9 0 0   Delta 1920 (++)  
-22224 1920 -2 -1 0 1.5 9 0 0   Delta 1920 (++)  
22214 1920 1 1 0 1.5 9 0 0   Delta 1920 (+)   
-22214 1920 -1 -1 0 1.5 9 0 0   Delta 1920 (+)   
22114 1920 0 1 0 1.5 9 0 0   Delta 1920 (0)   
-22114 1920 0 -1 0 1.5 9 0 0   Delta 1920 (0)   
21114 1920 -1 1 0 1.5 9 0 0   Delta 1920 (-)   
-21114 1920 1 -1 0 1.5 9 0 0   Delta 1920 (-)   
2228 1930 2 1 0 3.5 9 0 0   Delta 1950 (++)  
-2228 1930 -2 -1 0 3.5 9 0 0   Delta 1950 (++)  
2218 1930 1 1 0 3.5 9 0 0   Delta 1950 (+)   
-2218 1930 -1 -1 0 3.5 9 0 0   Delta 1950 (+)   
2118 1930 0 1 0 3.5 9 0 0   Delta 1950 (0)   
-2118 1930 0 -1 0 3.5 9 0 0   Delta 1950 (0)   
1118 1930 -1 1 0 3.5 9 0 0   Delta 1950 (-)   
-1118 1930 1 -1 0 3.5 9 0 0   Delta 1950 (-)   
23224 1940 1 1 -1 1.5 9 0 0   Sigma (+) 1940   
-23224 1940 -1 -1 1 1.5 9 0 0   Sigma (+) 1940   
23214 1940 0 1 -1 1.5 9 0 0   Sigma (0) 1940   
-23214 1940 0 -1 1 1.5 9 0 0   Sigma (0) 1940   
23114 1940 -1 1 -1 1.5 9 0 0   Sigma (-) 1940   
-23114 1940 1 -1 1 1.5 9 0 0   Sigma (-) 1940   
9050225 1945 0 0 0 2 1 0 0   f2 1950          
23324 1950 0 1 -2 1.5 9 0 0   Xsi (0) 1950     
-23324 1950 0 -1 2 1.5 9 0 0   Xsi (0) 1950     
23314 1950 -1 1 -2 1.5 9 0 0   Xsi (-) 1950     
-23314 1950 1 -1 2 1.5 9 0 0   Xsi (-) 1950     
12226 1960 2 1 0 2.5 9 0 0   Delta 1930 (++)  
-12226 1960 -2 -1 0 2.5 9 0 0   Delta 1930 (++)  
12126 1960 1 1 0 2.5 9 0 0   Delta 1930 (+)   
-12126 1960 -1 -1 0 2.5 9 0 0   Delta 1930 (+)   
11216 1960 0 1 0 2.5 9 0 0   Delta 1930 (0)   
-11216 1960 0 -1 0 2.5 9 0 0   Delta 1930 (0)   
11116 1960 -1 1 0 2.5 9 0 0   Delta 1930 (-)   
-11116 1960 1 -1 0 2.5 9 0 0   Delta 1930 (-)   
13334 2252 -1 1 -3 1.5 9 0 0   Omega 2250       
-13334 2252 1 -1 3 1.5 9 0 0   Omega 2250
